Package,Version,License(s),Patches
uci,2014-04-11.1-1,https://opensource.org/licenses/GPL-2.0,
uci2dat,1,https://opensource.org/licenses/GPL-2.0,
uclibcxx,0.2.4-1,https://www.gnu.org/copyleft/lesser.html,
uhttpd,2014-10-27-fd8e5e379c23c5fbcec3e76894b839233df09067,https://opensource.org/licenses/MIT,
uhttpd-mod-ubus,2014-10-27-fd8e5e379c23c5fbcec3e76894b839233df09067,https://opensource.org/licenses/MIT,
watchdog,1,https://opensource.org/licenses/Apache-2.0,
wireless-tools,29-5,https://opensource.org/licenses/GPL-2.0,
wpa-cli,2014-06-03.1-1,https://www.gnu.org/copyleft/fdl.html,
wpa-supplicant,2014-06-03.1-1,https://www.gnu.org/copyleft/fdl.html,
zlib,1.2.8-1,http://www.zlib.net/zlib_license.html,
zoneinfo-core,2011n-1,https://opensource.org/licenses/GPL-2.0;
